Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Lexibook,LexiTab 7'',MFC146FR,932MB,Tablet,Intel C3200RK,1024x600,160,x86;armeabi-v7a;armeabi,22,2.0
LGE,LG G4,p1,2831-2836MB,Phone,Qualcomm MSM8992,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.2
LGE,LG Volt II,c90nas,882MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3.0
LGE,Q8,anna,3778-3781MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
LGE,Q8,cv7an,3636MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,TBD,aka,1369-1373MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19;21,3.0
LGE,LG G3 Cat.6,tiger6,2969-2972MB,Phone,Qualcomm APQ8084,1440x2560,640,armeabi-v7a;armeabi,19;21;23,3.0;3.1
LGE,LG Premier Pro,cv3,1864-1866MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,25;27,3.0
LGE,G Pad 10.1 LTE,e9lte,858-859MB,Tablet,Qualcomm MSM8926,1280x800,160,armeabi-v7a;armeabi,19;21,3.0
LGE,LG G6,lucye,3777-3782MB,Phone,Qualcomm MSM8996,1440x2672;1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
LGE,LG Spirit LTE,c70,892-896MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
LGE,K3 2017,lv0,907MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,23,3.0
LGE,V20,elsa,3778-3781MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
LGE,LG Stylus2 4G,ph2,1885-1888MB,Phone,Qualcomm MSM8937,1080x1920,480,armeabi-v7a;armeabi,23;24,3.1;3.2
LGE,LM-X420,mmh4,2834MB,Phone,Mediatek MT6762,720x1440,280,armeabi-v7a;armeabi,27,3.2
LGE,F60,e2nam,865MB,Phone,Qualcomm MSM8926,480x800,240,armeabi-v7a;armeabi,19,3.0
LGE,F60,e2,904MB,Phone,Qualcomm MSM8916,480x800,240,armeabi-v7a;armeabi,19;21,3.0
LGE,F60,e2ds,904MB,Phone,Qualcomm MSM8916,480x800,240,armeabi-v7a;armeabi,19;21,3.0
LGE,F60,e2nas,861MB,Phone,Qualcomm MSM8926,480x800,240,armeabi-v7a;armeabi,19,3.0
LGE,F60,e2nac,861MB,Phone,Qualcomm MSM8926,480x800,240,armeabi-v7a;armeabi,19,3.0
LGE,F60,e2nav,861MB,Phone,Qualcomm MSM8926,480x800,240,armeabi-v7a;armeabi,19;22,3.0
LGE,F60,e2n,904MB,Phone,Qualcomm MSM8916,480x800,240,armeabi-v7a;armeabi,19;21,3.0
LGE,L-03K,L-03K,3643MB,Phone,Qualcomm SDM450,1080x2160,480,armeabi-v7a;armeabi,27,3.2
LGE,LG K3,me0,910MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,23,3.0
LGE,LG G Pad F2 8.0,mth8,1869MB,Tablet,Mediatek MT6750,800x1280,213,armeabi-v7a;armeabi,25,3.2
LGE,LG Stylus2,ph1n,1387MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG Stylo 2,ph1,1392-1895MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22;23;24,3.0
LGE,LG Spirit,my70,955-959MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,21;23,2.0
LGE,LG Aristo 3,cv1s,1876MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,27,3.0
LGE,LG G3,g3,1841-2885MB,Phone,Qualcomm MSM8974AC,1440x2560,640,armeabi-v7a;armeabi,19;21;22;23,3.0
LGE,LG Stylo 4,cv7a,1858MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,LG Stylo 4,mcv7a,1830MB,Phone,Mediatek MT6750,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,LG U,bbg,1929MB,Phone,Mediatek MT6753,1080x1920,480,armeabi-v7a;armeabi,23,3.0
LGE,JOJO,L-02K,3722MB,Phone,Qualcomm MSM8998,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26,3.2
LGE,LG G2,g2,1853-1858MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0
LGE,LG K20 Plus,lv517,1881MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24,3.0
LGE,G Pad 7.0,e7wifi,877-878MB,Tablet,Qualcomm APQ8026,800x1280,213,armeabi-v7a;armeabi,19;21,3.0
LGE,LG Destiny,y50,889MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,21,3.0
LGE,V20 PRO,L-01J,3777-3781MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2
LGE,LG G7 ThinQ,judyln,3644-3654MB,Phone,Qualcomm SDM845,1440x3120,560,arm64-v8a;armeabi-v7a;armeabi,26;28,3.2
LGE,LG K7,m1,1414MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
LGE,LG K7,m13g,968MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,22,2.0
LGE,LG Gpad X 10.1,t1lte,1869-1872MB,Tablet,Qualcomm MSM8974,1920x1200,240,armeabi-v7a;armeabi,22;23,3.0
LGE,LG K20,lv517n,1372-1373MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG Leon,my50ds,710MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,21,2.0
LGE,LG Leon,my50,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,21,2.0
LGE,Nexus 5,hammerhead,1854-1856MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21;22;23,3.0
LGE,LG Wine Smart Jazz,cf,908MB,Phone,Qualcomm MSM8909,320x480,160,armeabi-v7a;armeabi,22,3.0
LGE,LG M1,m1ds,1417MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
LGE,LG Classic,y30tc,919MB,Phone,Qualcomm MSM8610,480x800,240,armeabi-v7a;armeabi,22,3.0
LGE,LG Spirit 4G LTE,c70n,882-896MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;22;23,3.0
LGE,V30+,L-01K,3722MB,Phone,Qualcomm MSM8998,1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,26,3.2
LGE,LG V35 ThinQ,judyp,5644MB,Phone,Qualcomm SDM845,1440x2880,560,arm64-v8a;armeabi-v7a;armeabi,26,3.2
LGE,Homeboy2,t8wi7u,1385MB,Tablet,Qualcomm APQ8026,800x1280,213,armeabi-v7a;armeabi,21,3.0
LGE,DM-01K,DM-01K,2886MB,Phone,Qualcomm MSM8940,1080x2008,480,armeabi-v7a;armeabi,25,3.2
LGE,G2 MINI,g2mss,882-884MB,Phone,Qualcomm MSM8226,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,G2 MINI,g2mds,882-884MB,Phone,Qualcomm MSM8226,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,G2 MINI,g2m,864MB,Phone,Qualcomm MSM8926,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,LG Leon 4G LTE,c50,880-900MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,21;22;23,3.0
LGE,LG Leon 4G LTE,c50n,895-900MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,21;23,3.0
LGE,LG Leon 4G LTE,c50ds,900MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,21,3.0
LGE,LG G Pad II 10.1 FHD,t1wifi,1870-1872MB,Tablet,Qualcomm APQ8074,1920x1200,240,armeabi-v7a;armeabi,22;23,3.0
LGE,LG G Pad II 10.1 FHD,t1wifin,1870-1872MB,Tablet,Qualcomm APQ8074,1920x1200,240,armeabi-v7a;armeabi,22;23,3.0
LGE,LG Stylo3,sf340,1875MB,Phone,Qualcomm MSM8940,720x1280,320,armeabi-v7a;armeabi,24,3.2
LGE,LG Stylo3,sf317,1881MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24,3.0
LGE,G Pro2,b1w,2867-2868MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0
LGE,G Pro2,b1,2866-2868MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0
LGE,LG G Pad 8.3 LTE,altev,1766-1783MB,Tablet,Qualcomm APQ8064,1200x1920,320,armeabi-v7a;armeabi,17;19;21,2.0;3.0
LGE,DM-02H,DM-02H,1884MB,Phone,Qualcomm MSM8937,1080x1920,480,armeabi-v7a;armeabi,23,3.1
LGE,LG Prime Plus 4G ,mc90ds,922MB,Phone,Mediatek MT6732,720x1280,320,armeabi-v7a;armeabi,21,3.0
LGE,LG Volt LTE,c70w,893MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21,3.0
LGE,LG X max,mk6m,1432MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG X Style,k6b,1408MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG G5 SE,alicee,2837MB,Phone,Qualcomm MSM8976,1440x2560,640,armeabi-v7a;armeabi,23;24,3.1;3.2
LGE,LG Optimus G Pro,geefhd4g,1797-1892MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19;21,2.0;3.0
LGE,LG Optimus G Pro,geefhd,1797-2021MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19;21,2.0;3.0
LGE,LG Zero,c100,1388-1392MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
LGE,Qua tab PZ,b5,1877-1883MB,Tablet,Qualcomm MSM8952,1200x1920,240,armeabi-v7a;armeabi,23;24,3.1;3.2
LGE,G Pad II 8.0,t8wifi,1385-1393MB,Tablet,Qualcomm APQ8026,800x1280,213,armeabi-v7a;armeabi,21;23,3.0
LGE,LG G Vista,b2l,1371-1372MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19;21,3.0
LGE,G pad 8.0,e8wifi,877-878MB,Tablet,Qualcomm APQ8026,800x1280,213,armeabi-v7a;armeabi,19;21,3.0
LGE,Nexus 4,mako,1834-1870MB,Phone,Qualcomm APQ8064,768x1280,320,armeabi-v7a;armeabi,17;18;19;21;22,2.0;3.0
LGE,G3 S,jagnm,860-864MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19;21,3.0
LGE,G3 S,jag3gss,883-884MB,Phone,Qualcomm MSM8226,720x1280,320,armeabi-v7a;armeabi,19;21,3.0
LGE,G3 S,jag3gds,883-884MB,Phone,Qualcomm MSM8226,720x1280,320,armeabi-v7a;armeabi,19;21,3.0
LGE,LG K10 LTE,m253n,1943MB,Phone,Mediatek MT6753,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG K10 LTE,m253,927MB,Phone,Mediatek MT6753,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG K5,d3,968MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,22,2.0
LGE,V10,pplus,3717MB,Phone,Qualcomm MSM8992,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.2
LGE,G3 Beat,jagn,862-865MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19;21,3.0
LGE,LG X Venture,lv9n,1867-1875MB,Phone,Qualcomm MSM8940,1080x1920,480,armeabi-v7a;armeabi,24;27,3.2
LGE,LG X Venture,lv9,1875MB,Phone,Qualcomm MSM8940,1080x1920,480,armeabi-v7a;armeabi,24,3.2
LGE,LG Stylo 3 Plus,sf340n,1876MB,Phone,Qualcomm MSM8940,1080x1920,480,armeabi-v7a;armeabi,24,3.2
LGE,G3 Stylus,b2ldsn,947-962MB,Phone,Mediatek MT6582,540x960;960x540,240,armeabi-v7a;armeabi,19;21,2.0
LGE,G3 Stylus,b2lss,947-962MB,Phone,Qualcomm MSM8926,540x960,240,armeabi-v7a;armeabi,19;21,2.0
LGE,G3 Stylus,b2lssn,947-962MB,Phone,Mediatek MT6582,540x960;960x540,240,armeabi-v7a;armeabi,19;21,2.0
LGE,LG K8 (2017),lv3n,1379-1380MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG K8 (2017),mlv3,1414MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
LGE,LG G Pad F7.0,e7iilte,884MB,Tablet,Qualcomm MSM8916,800x1280,213,armeabi-v7a;armeabi,21,3.0
LGE,X4,cv3n,1868-1871MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25;27,3.0
LGE,LG G Vista 2,p1v,1886-1895MB,Phone,Qualcomm MSM8952,1080x1920,480,armeabi-v7a;armeabi,22;23,3.1
LGE,LG K4 LTE,me1ds,931MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
LGE,LG K4 LTE,me1,931MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,22,3.0
LGE,LG X screen,k5,1900-1908MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23;24,3.0
LGE,LG X screen,k5n,1900MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG G Flex2,z2,1838-1845MB,Phone,Qualcomm MSM8994,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;22;23,3.1
LGE,LG X500,mlv7n,1860-1877MB,Phone,Mediatek MT6750,720x1280,280;320,armeabi-v7a;armeabi,24;26;27,3.2
LGE,Qua tab PX,b3,1881-1885MB,Tablet,Qualcomm MSM8952,1200x1920,320,armeabi-v7a;armeabi,23;24,3.1;3.2
LGE,X Mach,sjr,2826MB,Phone,Qualcomm MSM8992,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23,3.1
LGE,LG Magna LTE,mc90,922MB,Phone,Mediatek MT6732,720x1280,320,armeabi-v7a;armeabi,21,3.0
LGE,LG K9,cv109,1907MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,25,3.0
LGE,LG K8(2018),cv1,1873-1876MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,25;27,3.0
LGE,G PADⅢ 10.1,th10,1982MB,Tablet,Mediatek MT8317,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.1
LGE,G Pad 10.1,e9wifi,877-878MB,Tablet,Qualcomm APQ8026,1280x800,160,armeabi-v7a;armeabi,19;21,3.0
LGE,G Pad 10.1,e9wifin,877-878MB,Tablet,Qualcomm APQ8026,800x1280,160,armeabi-v7a;armeabi,19;21,3.0
LGE,LG X cam,k7,1929MB,Phone,Mediatek MT6753,1080x1920,480,armeabi-v7a;armeabi,23,3.0
LGE,LG X cam,k7n,1929MB,Phone,Mediatek MT6753,1080x1920,480,armeabi-v7a;armeabi,23,3.0
LGE,LG Magna,my90,953-956MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,21;23,2.0
LGE,LG Magna,my90ds,953-956MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,21;23,2.0
LGE,LG K8,mm1v,926MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG G7 One,phoenix_sprout,3714-3718MB,Phone,Qualcomm MSM8998,1440x3120,560,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
LGE,L5000,l5000,1969MB,Phone,LG GH14,1080x1920,480,armeabi-v7a;armeabi,22,3.1
LGE,LG Volt 4G,c70ds,896MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21,3.0
LGE,LG G Pad F 8.0,t8lte,859-867MB,Tablet,Qualcomm MSM8926,800x1280,213,armeabi-v7a;armeabi,21;23,3.0
LGE,LG K10 (2017),mlv5n,1859-1867MB,Phone,Mediatek MT6755,720x1280,320,armeabi-v7a;armeabi,24;27,3.2
LGE,LG K10 (2017),mlv5,1859-1867MB,Phone,Mediatek MT6755,720x1280,320,armeabi-v7a;armeabi,24;27,3.2
LGE,G Stylo,g4stylusw,1384-1402MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
LGE,G Vista,x10,1371-1372MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19;22,3.0
LGE,G Vista,b2lds,947-962MB,Phone,Qualcomm MSM8926,540x960,240,armeabi-v7a;armeabi,19;21,2.0
LGE,Phoenix 3,lv1,901-1408MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,23;24,3.0
LGE,LG K4,e1q,1415-1416MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22;23,3.0
LGE,L Bello,luv80ds,950-964MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19;21,2.0
LGE,LBello,luv80ss,950-964MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19;21,2.0
LGE,V40 ThinQ,judypn,5643-5652MB,Phone,Qualcomm SDM845,1080x2340,420,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
LGE,LG Power,y50c,889MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,21,3.0
LGE,LG Q7,mcv5a,2854MB,Phone,Mediatek MT6750,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,Stylo 2 V,mph1,1854-1868MB,Phone,Mediatek MT6755M,720x1280,320,armeabi-v7a;armeabi,23;24,3.0;3.2
LGE,Premier,m209,892MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3.0
LGE,LG Stylus3,msf3n,2887MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,24,3.2
LGE,LG Stylus3,msf3,1871MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,24,3.2
LGE,LG Q6,mhn,2880-2891MB,Phone,Qualcomm MSM8940,1080x2004;1080x2160,480,armeabi-v7a;armeabi,25;27,3.2
LGE,LG Q6,mh,2880-2891MB,Phone,Qualcomm MSM8940,1080x2004;1080x2160,480,armeabi-v7a;armeabi,25;27,3.2
LGE,LG G Pad X 8.3,altev2,1882-1884MB,Tablet,Qualcomm MSM8939,1200x1920,320,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0
LGE,Nexus 5X,bullhead,1813-1814MB,Phone,Qualcomm MSM8992,1080x1920,420,arm64-v8a;armeabi-v7a;armeabi,23;24;25;26;27,3.1;3.2
LGE,DM-01G,DM-01G,1841MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,21,3.0
LGE,LG Volt,x5,863MB,Phone,Qualcomm MSM8926,540x960,240,armeabi-v7a;armeabi,19,3.0
LGE,LG Volt,my70ds,955-959MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,21;23,2.0
LGE,Optimus GK,gvfhd,1797-1891MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19;21,2.0;3.0
LGE,LG G Pad IV 8.0 FHD LTE,tf840,1873-1882MB,Tablet,Qualcomm MSM8940,1200x1920,320,armeabi-v7a;armeabi,24;27,3.2
LGE,LG G Pad 8.3,awifi,1751-1767MB,Tablet,Qualcomm APQ8064,1200x1920,320,armeabi-v7a;armeabi,17;19;21,2.0;3.0
LGE,LG Q9,falcon,3764MB,Phone,Qualcomm MSM8996Pro,1440x3120,560,arm64-v8a;armeabi-v7a;armeabi,27,3.2
LGE,L90,w7n,882-883MB,Phone,Qualcomm MSM8226,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,L90,w7,886MB,Phone,Qualcomm MSM8226,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,L90,w7ds,882-883MB,Phone,Qualcomm MSM8226,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,LG G Stylo,g4stylusdsn,890-891MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
LGE,LG G Stylo,g4stylusn,890-1903MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;22;23,3.0
LGE,LG G Stylo,g4stylusc,885MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;22;23,3.0
LGE,LG G Stylo,g4stylus,1392MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3.0
LGE,LG G Stylo,g4stylusds,890-891MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
LGE,LG Gx,omega,1797-1890MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19;21,2.0;3.0
LGE,LG Gx,omegar,1889-1890MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0
LGE,LG K30,mcv3,1846-2879MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25;27,3.2
LGE,LG G4 Beat,p1bdsn,1396MB,Phone,Qualcomm MSM8939,1080x1920,480,armeabi-v7a;armeabi,22;23,3.0
LGE,LG G4 Beat,p1bssn,1396MB,Phone,Qualcomm MSM8939,1080x1920,480,armeabi-v7a;armeabi,22;23,3.0
LGE,LG G4 Stylus,mp1s3gds,949-952MB,Phone,Mediatek MT6592M,720x1280,320,armeabi-v7a;armeabi,21;23,2.0
LGE,LG G4 Stylus,mp1s3gss,949-952MB,Phone,Mediatek MT6592M,720x1280,320,armeabi-v7a;armeabi,21;23,2.0
LGE,G3 Screen,liger,1968-1970MB,Phone,LG GH14,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0;3.1
LGE,LG F570S,yg,1892-1898MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
LGE,LG Smart Folder,cf2,1911MB,Phone,Qualcomm MSM8909,480x844,240,armeabi-v7a;armeabi,25,3.0
LGE,L90 Dual,w7dsn,881-883MB,Phone,Qualcomm MSM8226,540x960,240,armeabi-v7a;armeabi,19;21,3.0
LGE,LG K10,m216n,1385-1393MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
LGE,LG K10,m23g,954MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,21,2.0
LGE,LG K10,m209n,1408MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23;24,3.0
LGE,LG K10,m216,1901MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3.0
LGE,LG Tribute Dynasty,mcv150,1867MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,25,3.2
LGE,Qua phone PX,JSG,1884MB,Phone,Qualcomm MSM8937,1080x1920,480,armeabi-v7a;armeabi,23;24,3.1;3.2
LGE,B6,b6,1886MB,Tablet,Qualcomm MSM8917,800x1280,213,armeabi-v7a;armeabi,24;27,3.0
LGE,LG K4/K7 (2017),mlv1,934MB,Phone,Mediatek MT6737M,480x854,240,armeabi-v7a;armeabi,23,3.0
LGE,LG G4s,p1bds3g,1396MB,Phone,Qualcomm MSM8939,1080x1920,480,armeabi-v7a;armeabi,22;23,3.0
LGE,LG G3 A,tigers,1852-1857MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0
LGE,LG K8 (2017) Dual,lv3,1379-1380MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG K8 LTE,mm1vn,1434MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG Stylo 2 Plus,ph2n,1880MB,Phone,Qualcomm MSM8937,720x1280,320,armeabi-v7a;armeabi,23;24,3.1;3.2
LGE,G Pad 7.0 LTE,e7lte,858-859MB,Tablet,Qualcomm APQ8026,800x1280,213,armeabi-v7a;armeabi,19;21,3.0
LGE,LG Class,c100n,1893-1898MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
LGE,LG K8 V,m1v,1408MB,Phone,Qualcomm MSM8909,720x1080,320,armeabi-v7a;armeabi,23;24,3.0
LGE,LG G4c,c90n,888-892MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
LGE,LG G4c,c90,883-892MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21;22;23,3.0
LGE,LG X power ,mk6p,1939MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG X power,mk6p55,1858MB,Phone,Mediatek MT6755M,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG X power,k6p,1406MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,LG X power,mk6pn,1939MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
LGE,V30,joan,3718-3723MB,Phone,Qualcomm MSM8998,1440x2678;1440x2880,640,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2
LGE,LG ZONE,d2,954MB,Phone,Mediatek MT6592M,720x1280,320,armeabi-v7a;armeabi,22,2.0
LGE,LG X power2,lv7,1870-1888MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24;27,3.0
LGE,LG X charge,mlv7,1868-1877MB,Phone,Mediatek MT6750,720x1280,280;320,armeabi-v7a;armeabi,24;25;26,3.2
LGE,LG Tribute Empire,mcv1s,1850MB,Phone,Mediatek MT6750,720x1280,320,armeabi-v7a;armeabi,27,3.2
LGE,LG G5,h1,3786-3797MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
LGE,LG Q7+,cv5a,3636MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,LG Q7+,cv5an,2874MB,Phone,Qualcomm SDM450,1080x2160,420,armeabi-v7a;armeabi,27,3.2
LGE,LG K3 LTE,mme0n,931MB,Phone,Mediatek MT6737M,480x854,240,armeabi-v7a;armeabi,23,3.0
LGE,LG K3 LTE,mme0,931MB,Phone,Mediatek MT6737M,480x854,240,armeabi-v7a;armeabi,23,3.0
LGE,LG Max,v10,967MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,21,2.0
LGE,LG G Pad 8.0 L Edition,e8lte,858-861MB,Tablet,Qualcomm MSM8926,800x1280,213,armeabi-v7a;armeabi,19;21,3.0
LGE,LG G Pad 8.3 Google Play Edition,palman,1747-2748MB,Tablet,Qualcomm APQ8064,1200x1920,320,armeabi-v7a;armeabi,19;22,3.0
